date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:47%20GMT	https://pavlolevchukknm201.wixsite.com/06cfef68.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/06cfef68.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:48%20GMT	https://pavlolevchukknm201.wixsite.com/49a18e23.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/49a18e23.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:48	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:48%20GMT	https://pavlolevchukknm201.wixsite.com/2467b183.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/2467b183.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:48%20GMT	https://pavlolevchukknm201.wixsite.com/f9fd7cbe.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/f9fd7cbe.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:49%20GMT	https://pavlolevchukknm201.wixsite.com/e142d0f4.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/e142d0f4.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:49	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:49%20GMT	https://pavlolevchukknm201.wixsite.com/96a73741.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/96a73741.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:49%20GMT	https://pavlolevchukknm201.wixsite.com/4c758e80.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/4c758e80.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:49%20GMT	https://pavlolevchukknm201.wixsite.com/44b62fdc.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/44b62fdc.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:50%20GMT	https://pavlolevchukknm201.wixsite.com/7f8c7c3e.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/7f8c7c3e.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
12:27:50	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Dec%202021%2010:27:50%20GMT	https://pavlolevchukknm201.wixsite.com/fbbc0ea4.min.css	D:/work/kursa4/pavlolevchukknm201.wixsite.com/fbbc0ea4.min.css	(from https://pavlolevchukknm201.wixsite.com/website)
